127.0.0.1, 2015-02-12 20:01:25, GET, /csc503/static/plugin_cs_monitor/js/ie10-viewport-bug-workaround.js, HTTP/1.1, 200, 0.000407
127.0.0.1, 2015-02-12 20:01:25, GET, /csc503/static/js/jquery.js, HTTP/1.1, 304, 0.000261
127.0.0.1, 2015-02-12 20:01:25, GET, /csc503/static/css/calendar.css, HTTP/1.1, 304, 0.000379
127.0.0.1, 2015-02-12 20:01:25, GET, /csc503/static/css/web2py.css, HTTP/1.1, 304, 0.000523
127.0.0.1, 2015-02-12 20:01:25, GET, /csc503/static/js/calendar.js, HTTP/1.1, 304, 0.000327
127.0.0.1, 2015-02-12 20:01:25, GET, /csc503/static/js/web2py.js, HTTP/1.1, 304, 0.000448
127.0.0.1, 2015-02-12 20:02:38, GET, /csc503/, HTTP/1.1, 200, 0.052488
127.0.0.1, 2015-02-12 20:02:38, GET, /csc503/static/js/jquery.js, HTTP/1.1, 304, 0.000413
127.0.0.1, 2015-02-12 20:02:38, GET, /csc503/static/css/calendar.css, HTTP/1.1, 304, 0.000596
127.0.0.1, 2015-02-12 20:02:38, GET, /csc503/static/js/calendar.js, HTTP/1.1, 304, 0.000350
127.0.0.1, 2015-02-12 20:02:38, GET, /csc503/static/js/web2py.js, HTTP/1.1, 304, 0.000347
127.0.0.1, 2015-02-12 20:02:38, GET, /csc503/static/css/web2py.css, HTTP/1.1, 304, 0.000731
127.0.0.1, 2015-02-12 20:02:38, GET, /csc503/static/plugin_cs_monitor/css/bootstrap.min.css, HTTP/1.1, 304, 0.000258
127.0.0.1, 2015-02-12 20:02:38, GET, /csc503/static/plugin_cs_monitor/css/layout.css, HTTP/1.1, 304, 0.000415
127.0.0.1, 2015-02-12 20:02:38, GET, /csc503/static/plugin_cs_monitor/js/bootstrap.min.js, HTTP/1.1, 304, 0.000226
127.0.0.1, 2015-02-12 20:02:38, GET, /csc503/static/plugin_cs_monitor/js/ie10-viewport-bug-workaround.js, HTTP/1.1, 304, 0.000228
127.0.0.1, 2015-02-12 20:02:39, GET, /csc503/static/images/favicon.ico, HTTP/1.1, 200, 0.000592
127.0.0.1, 2015-02-12 20:04:47, GET, /csc503/, HTTP/1.1, 200, 0.031903
127.0.0.1, 2015-02-12 20:04:47, GET, /csc503/static/js/jquery.js, HTTP/1.1, 304, 0.000385
127.0.0.1, 2015-02-12 20:04:47, GET, /csc503/static/css/calendar.css, HTTP/1.1, 304, 0.000325
127.0.0.1, 2015-02-12 20:04:47, GET, /csc503/static/js/calendar.js, HTTP/1.1, 304, 0.000415
127.0.0.1, 2015-02-12 20:04:47, GET, /csc503/static/js/web2py.js, HTTP/1.1, 304, 0.000315
127.0.0.1, 2015-02-12 20:04:47, GET, /csc503/static/css/web2py.css, HTTP/1.1, 304, 0.000402
127.0.0.1, 2015-02-12 20:04:47, GET, /csc503/static/plugin_cs_monitor/css/bootstrap.min.css, HTTP/1.1, 304, 0.000487
127.0.0.1, 2015-02-12 20:04:47, GET, /csc503/static/plugin_cs_monitor/css/layout.css, HTTP/1.1, 304, 0.000533
127.0.0.1, 2015-02-12 20:04:47, GET, /csc503/static/plugin_cs_monitor/js/bootstrap.min.js, HTTP/1.1, 304, 0.000457
127.0.0.1, 2015-02-12 20:04:47, GET, /csc503/static/plugin_cs_monitor/js/ie10-viewport-bug-workaround.js, HTTP/1.1, 304, 0.000366
127.0.0.1, 2015-02-12 20:04:48, GET, /csc503/static/images/favicon.ico, HTTP/1.1, 304, 0.000339
127.0.0.1, 2015-02-12 20:04:52, GET, /csc503/default/index, HTTP/1.1, 200, 0.016417
127.0.0.1, 2015-02-12 20:06:01, GET, /csc503/default/index, HTTP/1.1, 200, 0.020885
127.0.0.1, 2015-02-12 20:06:01, GET, /csc503/static/js/jquery.js, HTTP/1.1, 304, 0.000467
127.0.0.1, 2015-02-12 20:06:01, GET, /csc503/static/css/calendar.css, HTTP/1.1, 304, 0.000399
127.0.0.1, 2015-02-12 20:06:01, GET, /csc503/static/js/calendar.js, HTTP/1.1, 304, 0.000346
127.0.0.1, 2015-02-12 20:06:01, GET, /csc503/static/js/web2py.js, HTTP/1.1, 304, 0.000494
127.0.0.1, 2015-02-12 20:06:01, GET, /csc503/static/css/web2py.css, HTTP/1.1, 304, 0.000316
